State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Firozepur,SilverBirdCinemasFerozepurMogaRoad,Punjabi,09:45,Box,400₹,20,0
Punjab,Firozepur,SilverBirdCinemasFerozepurMogaRoad,Punjabi,09:45,Gold,120₹,194,64
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:50,Normal,100₹,51,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:50,Executive,100₹,68,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:50,Premium,100₹,106,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:50,Vip,250₹,14,0
Punjab,Amritsar,PvrSctCityCentre,Punjabi,10:00,Classic,99₹,79,0
Punjab,Amritsar,PvrSctCityCentre,Punjabi,10:00,Prime,99₹,61,0
Punjab,Amritsar,PvrSctCityCentre,Punjabi,10:00,Recliner,149₹,30,1
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,10:40,Normal,112₹,163,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,10:50,Gold,150₹,79,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,10:50,Platinum,150₹,229,26
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,11:30,Classic,99₹,117,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,11:30,Prime,149₹,8,2
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:00,Club,160₹,89,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:00,Executive,140₹,66,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:00,RoyalRecliner,250₹,8,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:00,Royal,160₹,37,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,12:00,Recliner,149₹,8,2
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,12:00,Prime,99₹,14,5
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,12:00,Classic,99₹,170,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,12:30,Platinum,160₹,100,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,12:30,Gold,110₹,60,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,12:30,Silver,110₹,60,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,12:50,Gold,100₹,64,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,12:50,Platinum,110₹,229,24
Punjab,Patiala,PvrVrcPatiala,Punjabi,13:00,Classic,99₹,26,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,13:00,Prime,99₹,171,4
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,13:15,Normal,150₹,163,3
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,13:50,Classic,180₹,157,2
